Date,Deficit
1988-07,10.5
1998-08,11.2
1988-09,9.2
1988-10,10.1
1988-11,10.4
1988-12,10.5
1989-01,8.7
1989-02,8.7
1989-03,7.0
1989-04,6.8
1989-05,9.6
1989-06,9.0
